SOG,Duration
14.888713,1391
14.594552,1444
15.837332,1302
11.935375,1761
11.148287,1867
11.75841,1778
13.30842,1590
10.793587,2030
15.024324,1421
10.890406,1951
15.113729,1384
15.172765,1404
13.938137,1500
7.589672,2556
12.297747,1734
10.620904,1941
8.573148,2592
12.789332,1653
11.445233,1844
9.924972,2070
10.793855,1886
11.201303,1973
11.396477,1987
10.423005,2120
16.982458,1241
8.618138,2389
10.436238,2034
12.776429,1601
8.939478,2533
14.066339,1525
14.410277,1431
10.079213,2066
15.152518,2543
10.331592,2064
11.287951,1848
9.207403,2440
9.907532,2107
12.426036,1622
10.575723,1961
15.116589,2590
16.501344,1265
9.050448,2376
10.717862,1967
9.869019,2147
8.793228,2513
11.811949,1771
10.328385,1945
9.341626,2276
9.64387,2144
10.183152,2024
12.319761,1741
11.74859,1759
11.056471,1949
12.001519,1796
11.642504,1785
9.403076,2261
12.481473,1721
15.417275,1379
13.264633,1614
13.264633,1614
12.640778,1712
12.640778,1712
16.328942,1290
16.347227,1311
17.652602,1211
10.286265,2060
10.295404,2049
11.870824,1801
17.112281,1232
12.395871,1684
16.692076,1247
10.998378,1835
14.694931,1425
15.515714,1356
11.697794,1994
10.642723,1972
10.343544,2010
14.262391,1462
9.866456,2097
16.643617,1251
11.356569,1853
8.47203,2446
14.874563,1442
9.479942,2190
9.024733,2307
8.973195,2334
8.301115,2609
9.439655,2224
10.298466,2041
16.117506,2631
15.860794,1339
11.976681,1705
16.05138,2399
14.580052,2593
14.933083,1409
14.326262,2502
10.61296,1990
9.510899,2172
16.553714,1279
9.041365,2217
15.461351,1353
14.860289,1407
14.553152,1427
8.53062,2510
10.622836,2209
9.340531,2252
15.552273,2390
10.826411,2133
8.609151,2365
13.075703,1623
15.462576,1388
13.431485,1587
13.431485,1587
13.100949,1615
14.961604,1404
8.618423,2320
10.472545,1918
14.229652,1482
14.567178,2401
14.090246,1500
9.989905,2073
12.894521,1629
11.497531,1763
8.486786,2555
12.501147,1692
13.910311,1525
10.118775,2040
14.874774,1404
13.21066,1613
10.561278,2033
9.116313,2361
11.125056,1864
9.986501,2116
12.669772,1703
16.031972,1328
14.046178,1524
8.166284,2593
13.720055,1567
16.166857,1302
10.657695,2046
10.546125,1989
9.017629,2293
14.26992,1494
12.697085,1536
15.033295,1357
10.134146,2026
9.061127,2237
8.573448,2329
11.170248,1927
8.251661,2433
9.091621,2176
13.294951,1580
12.864848,1655
13.443789,1567
11.11752,1933
8.590539,2422
10.620183,1979
12.881959,1559
8.122554,2629
14.877989,1393
14.227647,1504
8.388036,2502
10.315901,2143
14.658726,1462
12.095723,1817
15.341005,1377
10.646442,1925
15.232801,1382
14.082881,1521
9.044728,2285
10.216208,2051
14.576161,1476
15.740538,1319
8.94001,2408
10.953285,1896
9.816141,2209
9.805791,2149
15.61082,1388
13.564303,1605
14.830662,2236
10.891708,1907
13.578933,1592
11.39572,1799
15.008075,1426
10.380749,2029
12.994949,1591
8.407863,2606
15.65932,1330
13.028018,1691
12.696471,1636
14.833333,1400
14.74461,2601
13.029026,1650
12.776884,1649
14.069515,1468
14.375102,1502
13.191982,1518
17.307328,1179
9.467017,2205
10.198938,2046
17.658284,1168
14.50377,1455
17.845094,1192
11.286716,1854
