shiptype,Length,Breadth,Draught,SOG,TotalDistance,Duration,Route,Direct
71,269,32,10.64,11.830764,353.861375,1532,ROT_HAM,1
71,323,43,12,13.203446,353.416043,1450,ROT_HAM,1
71,376,48,13.23,14.77907,346.753233,1213,ROT_HAM,1
71,300,49,12.83,13.668775,350.611945,1327,ROT_HAM,1
70,145,25,?,12.389986,369.674767,1535,ROT_HAM,1
70,118,16,6.29,12.041281,2128.048145,16170,ROT_HAM,0
71,323,43,12,15.560408,353.358752,1228,ROT_HAM,1
71,269,32,10.64,13.729607,343.494554,1275,ROT_HAM,1
70,369,51,13.6,9.442667,386.340252,2039,ROT_HAM,1
71,323,43,12,12.160148,358.515655,1565,ROT_HAM,1
71,300,49,12.83,13.395139,360.584096,1379,ROT_HAM,1
71,300,48,10.18,15.694628,353.399624,1163,ROT_HAM,1
71,323,43,12,12.428458,366.129232,1535,ROT_HAM,1
71,269,32,10.64,15.743829,348.378243,1154,ROT_HAM,1
71,300,49,12.83,15.829216,323.542157,1176,ROT_HAM,1
71,300,48,9.706247,13.830152,321.483186,1334,ROT_HAM,1
71,323,43,11.553811,14.020785,324.102987,1324,ROT_HAM,1
70,133,23,6.598523,12.523804,334.183223,1351,ROT_HAM,1
71,275,40,10.568254,14.229101,352.343382,1262,ROT_HAM,1
71,269,32,9.638266,12.082657,325.951227,1461,ROT_HAM,1
70,134,22,6.98,15.985699,351.514221,1192,ROT_HAM,1
71,240,32,10.75,14.536398,338.868475,1224,ROT_HAM,1
71,369,51,13.65,14.238705,372.897652,1374,ROT_HAM,1
70,134,22,6.98,14.942687,359.657287,1250,ROT_HAM,1
70,289,45,11.3,9.549909,426.965581,2295,ROT_HAM,0
70,110,18,6.56,11.884742,362.191099,1583,ROT_HAM,1
74,299,48,9.71,14.121099,346.810767,1292,ROT_HAM,1
70,366,48,12.95,13.574249,371.767721,1430,ROT_HAM,1
70,134,22,6.98,16.493133,358.272046,1164,ROT_HAM,1
71,261,32,10.3,15.355523,347.693912,1160,ROT_HAM,1
70,365,48,13.36,11.31783,355.602946,1625,ROT_HAM,1
70,75,12,3.83,8.28838,366.938566,2260,ROT_HAM,0
70,323,43,12.14,13.548043,391.074991,1526,ROT_HAM,1
70,134,22,6.98,15.551763,363.235793,1224,ROT_HAM,1
71,240,32,10.75,13.746365,347.429306,1342,ROT_HAM,1
71,300,48,11.75,11.950527,353.394887,1555,ROT_HAM,1
70,229,32,10.22,11.592035,374.703522,3290,ROT_HAM,1
74,299,48,9.71,13.719334,352.801784,1332,ROT_HAM,1
70,323,43,12.14,13.673757,374.716525,1423,ROT_HAM,1
74,299,48,9.74613,16.754489,311.961006,1068,ROT_HAM,1
70,338,45,13.1,13.708037,353.107051,1320,ROT_HAM,1
71,261,32,10.3,15.970627,343.856716,1139,ROT_HAM,1
73,366,51,12.83,15.040431,347.898435,1217,ROT_HAM,1
70,83,13,4.72,11.545917,356.184253,3373,ROT_HAM,1
89,183,32,10.51,11.20885,442.976465,2471,ROT_HAM,0
71,240,32,10.75,12.442844,343.267436,1438,ROT_HAM,1
70,365,48,13.36,9.159818,349.748841,2125,ROT_HAM,1
71,220,32,10.44,11.290976,341.058584,1637,ROT_HAM,1
70,366,48,12.95,14.932663,366.598452,1296,ROT_HAM,1
70,323,43,12.14,16.450708,325.277419,1148,ROT_HAM,1
71,400,59,13.72,14.784479,323.017205,1258,ROT_HAM,1
71,369,51,13.65,11.494265,339.886005,1677,ROT_HAM,1
70,88,12,4.577917,9.250347,341.149635,3479,ROT_HAM,1
71,261,32,10.3,11.941815,348.346849,1462,ROT_HAM,1
70,90,13,3.714624,11.042448,351.061136,1692,ROT_HAM,1
70,323,43,12.093492,13.131011,356.569236,1397,ROT_HAM,1
70,90,15,4.214886,10.359473,362.689491,1855,ROT_HAM,1
71,240,32,10.089279,12.87706,340.65374,1391,ROT_HAM,1
70,151,24,6.009048,12.486697,369.388592,3187,ROT_HAM,1
70,83,13,3.702625,9.358937,335.097197,1933,ROT_HAM,1
71,365,52,9.584101,15.881407,353.268334,1164,ROT_HAM,1
71,240,32,10.5,15.873439,347.19484,1153,ROT_HAM,1
70,366,48,13.94,9.191755,365.471502,2005,ROT_HAM,1
73,183,26,8.94,11.705176,360.231386,1564,ROT_HAM,1
73,183,26,8.94,12.092579,354.025323,1501,ROT_HAM,1
79,210,30,10.22,14.570135,366.476413,1340,ROT_HAM,1
70,190,32,?,6.106366,447.265747,3668,ROT_HAM,1
71,260,32,10.46,13.844516,355.948237,1308,ROT_HAM,1
70,90,13,3.993102,6.656933,1418.569496,14762,ROT_HAM,0
70,210,30,10.4,14.441586,323.532232,2285,ROT_HAM,1
71,366,52,12.66,11.240765,423.892517,1902,ROT_HAM,1
70,88,13,4.8,9.420187,359.186658,2063,ROT_HAM,0
71,277,40,11.68,12.498614,355.264264,1439,ROT_HAM,1
70,199,30,10.06,10.540526,358.420708,1736,ROT_HAM,1
70,335,42,13.34,15.505428,351.372596,1160,ROT_HAM,1
79,222,30,9.6,16.154733,359.835822,1156,ROT_HAM,1
73,183,26,8.94,13.614692,348.931206,1348,ROT_HAM,1
79,330,42,13.38,16.88559,328.278689,1023,ROT_HAM,1
70,88,12,4.69,9.600416,328.815992,1784,ROT_HAM,1
70,277,40,11.57,14.113735,350.507383,1286,ROT_HAM,1
71,101,18,6.18,11.97308,371.990666,1576,ROT_HAM,1
70,333,46,13.2,14.282756,351.442465,1267,ROT_HAM,1
73,183,26,8.94,12.898177,349.070743,1368,ROT_HAM,1
70,210,30,10.22,11.000122,362.789473,1711,ROT_HAM,1
70,368,51,13.85,8.632015,463.426454,3001,ROT_HAM,0
70,229,32,10.87,8.131275,421.790544,5074,ROT_HAM,1
71,277,40,11.68,14.82251,343.703813,1201,ROT_HAM,1
70,199,30,10.06,10.812832,384.880577,3663,ROT_HAM,1
70,0,0,?,9.030561,345.858714,2011,ROT_HAM,1
77,189,32,?,6.884331,435.254737,9262,ROT_HAM,1
73,183,26,8.94,14.204753,353.746208,1841,ROT_HAM,1
70,366,48,13.94,10.424585,350.348967,1747,ROT_HAM,1
70,277,40,11.57,16.047649,352.88323,1133,ROT_HAM,1
73,183,26,8.94,12.867353,355.6712,1827,ROT_HAM,1
70,199,30,10.06,13.112546,361.837897,1417,ROT_HAM,1
73,183,26,8.94,13.501433,360.493276,1356,ROT_HAM,1
71,129,20,5.6,14.951971,354.353107,1271,ROT_HAM,1
73,183,26,8.407448,9.804765,356.432403,1821,ROT_HAM,1
70,333,46,13.2,11.064782,358.725933,1606,ROT_HAM,1
73,183,26,8.94,13.208735,334.142092,1366,ROT_HAM,1
71,129,20,6.53,14.54089,332.718799,1302,ROT_HAM,1
79,277,40,11.28,13.199376,356.75727,1391,ROT_HAM,1
70,277,40,11.57,13.787424,321.202982,1314,ROT_HAM,1
70,88,12,4.69,8.824221,310.642053,2058,ROT_HAM,1
73,183,26,8.94,11.721558,325.618557,1623,ROT_HAM,1
73,183,26,8.4,9.852715,361.985333,1893,ROT_HAM,1
70,129,20,6.401173,13.998375,360.963054,1347,ROT_HAM,1
74,366,48,14.061021,8.993307,363.057318,2091,ROT_HAM,1
71,261,32,8.050517,10.586993,337.104224,2373,ROT_HAM,1
73,183,26,7.4,13.88449,346.106321,1302,ROT_HAM,1
73,183,26,6.007939,14.487849,347.000401,3104,ROT_HAM,1
73,183,26,7.008723,13.559442,343.824393,1323,ROT_HAM,1
79,277,40,10.414382,16.225434,355.928864,1144,ROT_HAM,1
71,129,20,5.517241,15.413901,334.710572,1162,ROT_HAM,1
