TotalDistance,Duration,Direct
353.861375,1532,1
353.416043,1450,1
346.753233,1213,1
350.611945,1327,1
369.674767,1535,1
2128.048145,16170,0
353.358752,1228,1
343.494554,1275,1
386.340252,2039,1
358.515655,1565,1
360.584096,1379,1
353.399624,1163,1
366.129232,1535,1
348.378243,1154,1
323.542157,1176,1
321.483186,1334,1
324.102987,1324,1
334.183223,1351,1
352.343382,1262,1
325.951227,1461,1
351.514221,1192,1
338.868475,1224,1
372.897652,1374,1
359.657287,1250,1
426.965581,2295,0
362.191099,1583,1
346.810767,1292,1
371.767721,1430,1
358.272046,1164,1
347.693912,1160,1
355.602946,1625,1
366.938566,2260,0
391.074991,1526,1
363.235793,1224,1
347.429306,1342,1
353.394887,1555,1
374.703522,3290,1
352.801784,1332,1
374.716525,1423,1
311.961006,1068,1
353.107051,1320,1
343.856716,1139,1
347.898435,1217,1
356.184253,3373,1
442.976465,2471,0
343.267436,1438,1
349.748841,2125,1
341.058584,1637,1
366.598452,1296,1
325.277419,1148,1
323.017205,1258,1
339.886005,1677,1
341.149635,3479,1
348.346849,1462,1
351.061136,1692,1
356.569236,1397,1
362.689491,1855,1
340.65374,1391,1
369.388592,3187,1
335.097197,1933,1
353.268334,1164,1
347.19484,1153,1
365.471502,2005,1
360.231386,1564,1
354.025323,1501,1
366.476413,1340,1
447.265747,3668,1
355.948237,1308,1
1418.569496,14762,0
323.532232,2285,1
423.892517,1902,1
359.186658,2063,0
355.264264,1439,1
358.420708,1736,1
351.372596,1160,1
359.835822,1156,1
348.931206,1348,1
328.278689,1023,1
328.815992,1784,1
350.507383,1286,1
371.990666,1576,1
351.442465,1267,1
349.070743,1368,1
362.789473,1711,1
463.426454,3001,0
421.790544,5074,1
343.703813,1201,1
384.880577,3663,1
345.858714,2011,1
435.254737,9262,1
353.746208,1841,1
350.348967,1747,1
352.88323,1133,1
355.6712,1827,1
361.837897,1417,1
360.493276,1356,1
354.353107,1271,1
356.432403,1821,1
358.725933,1606,1
334.142092,1366,1
332.718799,1302,1
356.75727,1391,1
321.202982,1314,1
310.642053,2058,1
325.618557,1623,1
361.985333,1893,1
360.963054,1347,1
363.057318,2091,1
337.104224,2373,1
346.106321,1302,1
347.000401,3104,1
343.824393,1323,1
355.928864,1144,1
334.710572,1162,1
365.209448,3428,1
348.075425,1381,1
2096.825757,14000,0
368.76782,1452,1
349.41745,1292,1
372.160171,1436,1
372.160171,1436,1
384.851836,15355,1
363.496396,1422,1
361.960208,1260,1
369.39894,1628,1
362.471683,1251,1
369.598034,1329,1
375.81643,1696,1
361.8483,1883,1
366.815549,1916,1
352.644283,1321,1
309.732615,4048,1
363.893811,1787,1
368.902346,1686,1
361.24763,1806,1
359.336558,1204,1
354.969829,1360,1
393.15876,6140,0
363.47772,1939,1
361.72988,1294,1
379.687585,1409,1
378.006725,1449,1
357.015219,1332,1
318.235915,1102,1
393.661051,1995,1
358.736131,1213,1
352.063141,1199,1
362.796242,1972,1
349.516286,2026,1
348.629804,1671,1
337.228291,1590,1
427.506382,3324,0
343.094983,1230,1
350.725076,1115,1
352.458062,1607,1
322.244835,1355,1
313.635325,1179,1
320.87722,1237,1
352.167511,1310,1
367.294273,1988,1
344.326261,1115,1
361.883346,1256,1
346.302314,1473,1
359.968122,1831,1
354.0657,1713,1
353.814149,1362,1
357.953293,1340,1
338.563946,1513,1
373.937469,1957,1
352.882173,1250,1
381.998583,3505,1
346.371767,1500,1
398.195423,2006,1
737.741718,9647,0
350.781421,1135,1
372.225932,1283,1
372.138047,1819,1
761.430222,6043,0
352.942983,1225,1
347.599502,1265,1
349.528817,1316,1
1018.843953,16868,0
354.603623,1439,1
335.817223,1238,1
348.22702,1845,1
353.742762,1389,1
355.794979,1395,1
372.318573,1711,1
377.690713,2365,1
358.67891,1695,1
370.879053,2287,1
350.900143,1515,1
368.788411,2118,1
346.834509,1285,1
370.415626,2720,1
380.330817,1933,1
353.76996,1682,1
379.175646,2403,1
350.972261,2721,1
324.003385,1115,1
358.437596,2374,1
359.469768,1432,1
380.910573,1595,1
374.763805,1286,1
326.578222,1248,1
331.692166,1141,1
326.385557,1112,1
327.54568,1380,1
376.509647,2370,1
364.387608,1355,1
412.31479,2228,1
366.991122,2959,1
332.260014,1567,1
364.253269,2484,0
374.372647,1796,1
346.4888,1193,1
368.677904,1112,1
349.127253,1150,1
291.806701,3808,1
