shiptype,Length,SOG,Distance,Duration
cargo,269,11.830764,353.861375,1532
cargo,323,13.203446,353.416043,1450
cargo,376,14.77907,346.753233,1213
cargo,300,13.668775,350.611945,1327
cargo,145,12.389986,369.674767,1535
cargo,323,15.560408,353.358752,1228
cargo,269,13.729607,343.494554,1275
cargo,369,9.442667,386.340252,2039
cargo,323,12.160148,358.515655,1565
cargo,300,13.395139,360.584096,1379
cargo,300,15.694628,353.399624,1163
cargo,323,12.428458,366.129232,1535
cargo,269,15.743829,348.378243,1154
cargo,300,15.829216,323.542157,1176
cargo,300,13.830152,321.483186,1334
cargo,323,14.020785,324.102987,1324
cargo,133,12.523804,334.183223,1351
cargo,275,14.229101,352.343382,1262
cargo,269,12.082657,325.951227,1461
cargo,134,15.985699,351.514221,1192
cargo,240,14.536398,338.868475,1224
cargo,369,14.238705,372.897652,1374
cargo,134,14.942687,359.657287,1250
cargo,289,9.549909,426.965581,2295
cargo,110,11.884742,362.191099,1583
cargo,299,14.121099,346.810767,1292
cargo,366,13.574249,371.767721,1430
cargo,134,16.493133,358.272046,1164
cargo,261,15.355523,347.693912,1160
cargo,365,11.31783,355.602946,1625
cargo,75,8.28838,366.938566,2260
cargo,323,13.548043,391.074991,1526
cargo,134,15.551763,363.235793,1224
cargo,240,13.746365,347.429306,1342
cargo,300,11.950527,353.394887,1555
cargo,299,13.719334,352.801784,1332
cargo,323,13.673757,374.716525,1423
cargo,299,16.754489,311.961006,1068
cargo,338,13.708037,353.107051,1320
cargo,261,15.970627,343.856716,1139
cargo,366,15.040431,347.898435,1217
cargo,240,12.442844,343.267436,1438
cargo,365,9.159818,349.748841,2125
cargo,220,11.290976,341.058584,1637
cargo,366,14.932663,366.598452,1296
cargo,323,16.450708,325.277419,1148
cargo,400,14.784479,323.017205,1258
cargo,369,11.494265,339.886005,1677
cargo,261,11.941815,348.346849,1462
cargo,90,11.042448,351.061136,1692
cargo,323,13.131011,356.569236,1397
cargo,90,10.359473,362.689491,1855
cargo,240,12.87706,340.65374,1391
cargo,83,9.358937,335.097197,1933
cargo,365,15.881407,353.268334,1164
cargo,240,15.873439,347.19484,1153
cargo,366,9.191755,365.471502,2005
cargo,183,11.705176,360.231386,1564
cargo,183,12.092579,354.025323,1501
cargo,210,14.570135,366.476413,1340
cargo,260,13.844516,355.948237,1308
cargo,210,14.441586,323.532232,2285
cargo,366,11.240765,423.892517,1902
cargo,88,9.420187,359.186658,2063
