SOG,Duration
11.830764,1532
13.203446,1450
14.77907,1213
13.668775,1327
12.389986,1535
15.560408,1228
13.729607,1275
9.442667,2039
12.160148,1565
13.395139,1379
15.694628,1163
12.428458,1535
15.743829,1154
15.829216,1176
13.830152,1334
14.020785,1324
12.523804,1351
14.229101,1262
12.082657,1461
15.985699,1192
14.536398,1224
14.238705,1374
14.942687,1250
9.549909,2295
11.884742,1583
14.121099,1292
13.574249,1430
16.493133,1164
15.355523,1160
11.31783,1625
8.28838,2260
13.548043,1526
15.551763,1224
13.746365,1342
11.950527,1555
13.719334,1332
13.673757,1423
16.754489,1068
13.708037,1320
15.970627,1139
15.040431,1217
12.442844,1438
9.159818,2125
11.290976,1637
14.932663,1296
16.450708,1148
14.784479,1258
11.494265,1677
11.941815,1462
11.042448,1692
13.131011,1397
10.359473,1855
12.87706,1391
9.358937,1933
15.881407,1164
15.873439,1153
9.191755,2005
11.705176,1564
12.092579,1501
14.570135,1340
13.844516,1308
14.441586,2285
11.240765,1902
9.420187,2063
12.498614,1439
10.540526,1736
15.505428,1160
16.154733,1156
13.614692,1348
16.88559,1023
9.600416,1784
14.113735,1286
11.97308,1576
14.282756,1267
12.898177,1368
11.000122,1711
14.82251,1201
9.030561,2011
14.204753,1841
10.424585,1747
16.047649,1133
12.867353,1827
13.112546,1417
13.501433,1356
14.951971,1271
9.804765,1821
11.064782,1606
13.208735,1366
14.54089,1302
13.199376,1391
13.787424,1314
8.824221,2058
11.721558,1623
9.852715,1893
13.998375,1347
8.993307,2091
10.586993,2373
13.88449,1302
13.559442,1323
16.225434,1144
15.413901,1162
12.998224,1381
13.104697,1452
14.223115,1292
13.391528,1436
13.391528,1436
13.321865,1422
14.739095,1260
11.547514,1628
14.793293,1251
14.380177,1329
10.94844,1696
9.729978,1883
10.071034,1916
13.66125,1321
10.404032,1787
10.928189,1686
10.447375,1806
15.367854,1204
13.117854,1360
9.365353,1939
14.808787,1294
13.281136,1409
13.105392,1449
13.723176,1332
15.888757,1102
10.009618,1995
15.150889,1213
15.101873,1199
9.504946,1972
10.701621,2026
11.230484,1671
11.866922,1590
13.927455,1230
15.815306,1115
11.426262,1607
13.57134,1355
15.461792,1179
15.089342,1237
13.76291,1310
12.129544,1988
16.140812,1115
14.692334,1256
12.931126,1473
9.97562,1831
10.803441,1713
13.48457,1362
13.760229,1340
11.607686,1513
9.606204,1957
14.86683,1250
12.55757,1500
10.363626,2006
15.882222,1135
15.651675,1283
10.461152,1819
14.559529,1225
14.274896,1265
13.673026,1316
12.869677,1439
13.152781,1238
9.738689,1845
14.396983,1389
13.105095,1395
11.345796,1711
9.729507,2365
11.024147,1695
10.675522,2287
11.784518,1515
8.682087,2118
14.001179,1285
11.313948,1933
11.089459,1682
9.93527,2403
16.570221,1115
7.930473,2374
13.219158,1432
11.994038,1595
15.523934,1286
14.709385,1248
16.235849,1141
14.699429,1112
13.680088,1380
11.023257,2370
14.029212,1355
9.555739,2228
11.211548,1567
10.715915,1796
14.812816,1193
17.043694,1112
15.727462,1150
10.344328,1815
13.289414,1563
15.292685,1238
18.108947,1085
11.187293,1723
9.114739,2093
15.925379,1115
15.229897,1244
10.7475,1696
13.524686,1306
15.412662,1161
14.822048,1218
8.245607,2306
10.405424,1774
14.813251,1263
16.409411,1187
11.360029,1595
15.299398,1216
9.999671,1914
14.673547,1250
12.506115,1458
16.136386,1205
10.528095,1733
14.819982,1270
15.058795,1190
14.489636,1321
8.594483,2124
15.404864,1190
11.403041,1642
14.243896,1252
13.997401,1457
13.27381,1388
12.56245,1501
10.565129,2187
14.308788,1268
14.614821,1281
14.626844,1278
12.860156,1419
16.164789,1134
11.164612,1609
13.47412,1333
15.78576,1643
12.253867,1567
14.878312,1238
9.820869,1861
14.471429,1307
12.597812,2118
12.680247,1432
10.60354,1692
13.655807,1349
14.651392,1242
9.343344,1994
11.55035,1584
12.332043,1475
13.5,1351
12.959368,1423
10.833727,1872
14.252931,1271
15.603433,1154
13.061983,1386
14.467579,1257
10.698724,1758
13.132931,1379
15.550725,1243
12.52331,1464
13.321218,1307
13.919806,1363
13.383142,1363
9.956989,2190
12.328131,1594
10.836031,1717
13.988768,1309
14.666856,1280
11.014444,2020
16.215843,1121
12.92555,1403
16.44692,1090
15.020386,1258
16.364151,1153
10.121597,1814
10.121597,1814
11.095215,1746
9.722966,1883
13.468605,1323
11.194647,1650
13.301704,1381
13.374156,1365
13.192334,1369
12.365155,1475
16.01526,1173
14.537322,1236
10.256854,1649
13.999767,1349
14.091231,1283
13.42691,1341
14.030386,1298
15.326036,1193
15.784302,1152
10.336041,1771
11.083202,1638
14.541732,1236
9.936095,1715
13.216566,1556
14.793403,1223
12.45816,1507
13.373089,1373
13.80338,1608
9.869421,2392
13.43989,1378
13.257028,1328
11.570779,1576
11.814702,1524
16.857784,1081
10.710992,1683
14.08972,1338
12.458327,1452
13.104923,1413
13.581319,1404
9.608306,2017
11.168923,1599
14.793012,1237
11.619239,1615
12.380814,1488
10.514869,1736
10.896094,1789
10.121597,1814
14.701002,1250
12.470665,1521
12.365155,1475
13.065914,1506
16.679131,1133
14.992208,1189
14.681362,1239
17.599128,1066
12.084336,1494
17.244944,1094
14.356299,1281
11.535,1973
14.286338,1305
11.134557,1648
15.669347,1192
13.622486,1356
17.593204,1049
10.160842,1941
14.130756,1402
16.106995,1137
15.627281,1158
16.50671,1117
9.057098,2314
17.711565,1019
11.013285,1646
