customers,purchases
12,3
9,2
5,1
7,2
10,3
9,4
8,4
4,1
7,3
5,1
11,7
10,1
7,3
10,5
12,6
6,2
12,2
11,5
10,2
9,2
13,8
9,1
4,4
8,2
9,1
8,3
10,3
10,2
10,2
10,3
6,0
13,2
15,3
9,2
10,1
6,4
8,3
14,3
14,6
11,2
7,2
7,2
7,5
7,1
10,5
7,1
13,3
11,5
12,3
4,2
5,1
12,4
10,4
5,0
12,3
8,4
10,5
9,3
8,3
8,4
11,5
6,2
6,0
7,3
9,4
14,7
4,1
10,3
6,4
6,2
5,1
7,2
9,3
7,3
11,2
10,4
10,3
14,4
8,5
11,5
8,4
10,3
8,2
12,7
7,3
12,4
11,4
7,4
13,7
5,1
10,1
10,4
3,1
12,4
7,4
8,3
13,4
11,3
6,4
14,3
10,2
13,6
13,7
6,2
6,0
10,5
10,2
13,2
7,4
6,1
12,1
6,0
5,2
10,4
13,3
6,3
8,1
14,7
17,6
15,3
8,2
12,3
7,5
9,4
7,4
8,4
8,2
8,1
6,2
11,1
9,3
13,6
10,2
7,1
14,4
4,1
7,3
14,3
12,5
9,2
9,2
14,5
7,2
6,2
13,5
11,3
10,3
7,1
11,4
6,0
11,2
9,4
7,2
6,1
8,2
8,3
7,1
8,3
10,3
14,3
12,6
8,3
11,7
11,5
14,3
11,4
13,5
9,3
9,3
2,0
10,3
11,3
10,5
10,5
12,0
9,3
14,4
15,6
6,1
11,3
9,3
8,2
8,1
16,4
12,4
8,4
10,4
6,3
8,4
10,3
10,4
8,4
10,3
10,3
11,2
5,2
10,3
6,0
12,4
8,4
